User,Client,"Client Type",Date,Duration,"Type Of Call","External Call Score"
"Emma Wright","Zach Robinson",Nurse,"2020-05-24 05:19:14",442,Outgoing,35
"Emma Wright","Charlie Martin",Nurse,"2020-05-22 12:27:21",866,Incoming,35
"Emma Wright","Elsie Shaw",Nurse,"2020-04-22 05:05:15",835,Incoming,11
"Emma Wright","Jeremy Powell",Nurse,"2020-04-23 02:20:04",730,Incoming,77
"Emma Wright","Megan Knight",Nurse,"2020-06-11 01:57:52",599,Outgoing,81
"Emma Wright","Mohammed Roberts",Nurse,"2020-04-24 11:52:18",553,Incoming,99
"Emma Wright","Stephanie Miller",Nurse,"2020-05-13 04:19:56",714,Outgoing,44
"Emma Wright","Frank Roberts",Carer,"2020-04-16 03:56:02",186,Outgoing,11
"Emma Wright","Charlie Stewart",Carer,"2020-06-12 08:49:31",634,Outgoing,42
"Emma Wright","Donna Holmes",Nurse,"2020-05-06 02:43:46",179,Outgoing,18
"Emma Wright","Zach Robinson",Nurse,"2020-06-11 05:19:47",849,Incoming,39
"Emma Wright","Julie Mason",Nurse,"2020-04-19 07:04:22",947,Outgoing,50
"Emma Wright","Michael Miller",Nurse,"2020-04-27 06:49:56",335,Outgoing,26
"Emma Wright","Joanne Walsh",Nurse,"2020-05-24 09:59:31",385,Outgoing,99
"Emma Wright","Kevin Young",Carer,"2020-04-16 11:55:43",441,Incoming,28
"Emma Wright","Aiden Richardson",Nurse,"2020-05-19 06:02:34",405,Incoming,46
"Emma Wright","Jeremy Powell",Nurse,"2020-05-03 12:03:16",632,Incoming,97
"Emma Wright","Lucas Wright",Carer,"2020-05-09 09:56:12",967,Outgoing,50
"Emma Wright","Rob Campbell",Carer,"2020-05-14 03:02:51",981,Incoming,31
"Emma Wright","Jim Williams",Carer,"2020-05-15 10:18:07",228,Outgoing,19
"Emma Wright","Martin Wilkinson",Nurse,"2020-04-21 03:56:29",172,Outgoing,37
"Emma Wright","Adrian Hall",Nurse,"2020-04-21 09:04:13",686,Outgoing,54
"Emma Wright","Megan Knight",Nurse,"2020-05-21 08:14:24",182,Incoming,88
"Emma Wright","Michael Phillips",Carer,"2020-05-30 02:13:51",485,Outgoing,44
"Emma Wright","Sarah Hall",Nurse,"2020-05-24 02:11:56",125,Incoming,43
"Emma Wright","Owen Green",Nurse,"2020-04-21 07:02:03",924,Incoming,19
"Emma Wright","Vicky Ellis",Nurse,"2020-06-02 10:51:35",617,Outgoing,37
"Emma Wright","Emma Robinson",Carer,"2020-05-28 12:53:05",147,Outgoing,81
"Emma Wright","Charlie Stewart",Carer,"2020-06-09 03:43:21",543,Incoming,15
"Emma Wright","Yasmine Robertson",Nurse,"2020-06-07 07:25:38",661,Outgoing,61
"Emma Wright","Elliott Saunders",Carer,"2020-05-22 02:18:18",977,Outgoing,22
"Emma Wright","Lexi Cox",Nurse,"2020-05-14 11:24:55",720,Incoming,0
"Emma Wright","Aiden Richardson",Nurse,"2020-04-29 01:16:25",442,Incoming,27
"Emma Wright","Candice Powell",Nurse,"2020-06-02 04:58:12",514,Incoming,18
"Emma Wright","Mark Walsh",Nurse,"2020-04-28 08:52:41",394,Outgoing,78
"Emma Wright","Anthony Adams",Nurse,"2020-06-02 09:02:17",879,Outgoing,23
"Emma Wright","Mark Walsh",Nurse,"2020-04-24 03:24:04",538,Outgoing,25
"Emma Wright","Jeremy Powell",Nurse,"2020-05-23 01:58:17",321,Outgoing,64
"Emma Wright","Liam Adams",Carer,"2020-05-05 08:20:37",266,Outgoing,59
"Emma Wright","Ken Bennett",Carer,"2020-05-03 12:22:07",995,Incoming,40
"Emma Wright","Kelly Walsh",Nurse,"2020-06-11 06:26:22",442,Outgoing,32
